Title,Year,Certificate,Rating
The Idea of You,2023.0,R,6.4
Kingdom of the Planet of the Apes,2023.0,PG-13,7.3
Unfrosted,2023.0,PG-13,5.5
The Fall Guy,2023.0,PG-13,7.3
Challengers,2023.0,R,7.7
Abigail,2023.0,R,6.8
Civil War,2023.0,R,7.5
Anyone But You,2023.0,R,6.1
The Ministry of Ungentlemanly Warfare,2023.0,R,7.0
Dune: Part Two,2023.0,PG-13,8.7
Furiosa: A Mad Max Saga,2023.0,R,8.3
Gojira -1.0,2023.0,PG-13,8.0
Ghostbusters: Frozen Empire,2023.0,PG-13,6.2
Love Lies Bleeding,2023.0,R,6.8
The Judge,2023.0,A,7.4
Mother of the Bride,2023.0,none,4.9
IF,2023.0,PG,6.8
Late Night with the Devil,2023.0,R,7.1
Laapataa Ladies,2023.0,none,8.5
War for the Planet of the Apes,2023.0,UA,7.4
Monkey Man,2023.0,R,7.0
Shaitaan,2023.0,UA,6.8
Tarot,2023.0,PG-13,5.0
Godzilla x Kong: The New Empire,2023.0,PG-13,6.4
Poor Things,2023.0,R,7.9
Arcadian,2023.0,R,5.5
Bullet Train,2023.0,A,7.3
Star Wars: Episode I - The Phantom Menace,2023.0,UA,6.5
Turtles All the Way Down,2023.0,PG-13,6.7
Rise of the Planet of the Apes,2023.0,UA,7.6
Oppenheimer,2023.0,R,8.3
Planet of the Apes,2023.0,UA,5.7
Dawn of the Planet of the Apes,2023.0,UA,7.6
The Iron Claw,2023.0,A,7.7
Back to Black,2023.0,R,6.6
The Beekeeper,2023.0,R,6.4
Road House,2023.0,R,6.2
Argylle,2023.0,PG-13,5.7
The Roast of Tom Brady,2023.0,none,7.5
Miller's Girl,2023.0,R,5.2
Dune,2023.0,UA,8.0
Barbarian,2023.0,A,7.0
The Holdovers,2023.0,R,7.9
Mad Max: Fury Road,2023.0,UA,8.1
The Garfield Movie,2023.0,U,6.1
Rebel Moon - Part Two: The Scargiver,2023.0,PG-13,5.2
The Gentlemen,2023.0,A,7.8
